trending_date,title,channel_title,category_id,tags,views,likes,dislikes,comment_count
17.14.11,"Deivamagal Episode 1387, 13/11/17",VikatanTV,24,deivamagal|"deiva magal"|"deiva magal serial"|"VikatanTV"|"deivamagal episode today"|"deivamagal today"|"deivamagal today episode"|"deivamagal episode 1387"|"deivamagal 13 November 2017"|"deiva magal serial 13.11.17"|"deiva magal episode 1387"|"தெய்வமகள�?|""devamagal""|""deivamagal episode""|""deviamagal""|""deivamahal""|""devaimagal""|""divamagal""",387221,2159,1214,711
17.14.11,Rana hungama at #ChaySam Wedding Reception || TV9,TV9 Telugu,19,Rana hungama at #ChaySam Wedding Reception || TV9,176472,588,52,23
17.14.11,Hero Tarun at #ChaySamWeddingReception | Samantha & Naga Chaitanya Reception Videos | News Mantra,News Mantra,24,Hero Tarun At Samantha Naga Chaitanya Wedding Reception|"#ChaySam Reception"|"News Mantra"|"Hero Tarun@ #ChaySam Wedding Reception"|"Hero Tarun"|"Naga Chaitanya - Samantha Akkineni Reception LIVE"|"Naga Chaitanya"|"Samantha"|"Naga Chaitanya Samantha"|"Nagarjuna"|"#ChaiSam"|"Reception LIVE"|"Akkineni Reception LIVE"|"Naga Chaitanya and Samantha marriage"|"chaysam reception live"|"Naga Chaitanya Samantha Wedding reception LIVE",55178,45,94,15
17.14.11,ఆమ�?బ్యాంక�?అకౌంట్ లో పొరపాటున 125 కోట్లు జమయాయ్యి..! దీంత�?ఆమ�?ఏం చేసింద�?తెలుసా..|| OmFut,OmFut,24,[none],236710,858,197,66
17.14.11,Moto X4 Unboxing & Hands On Overview (Indian Unit),Geekyranjit,28,moto x4 unboxing|"moto x4"|"moto x4 india"|"moto x4 hands on"|"noto x4 camera"|"moto x4 review"|"geekyranjit",238637,7975,368,1274
17.14.11,दि�?भर की 5 बड़ी ख़बरें @HindiKhabar 12 NOVEMBER  2017,Hindi Khabar,25,Hindi Khabar|"UttarPradesh"|"Uttrakhand"|"BundelKhand"|"AtulAgrawal"|"DigitalMedia"|"UP"|"Yogi Adityanath"|"Yogi Sarkar"|"अखिलेश यादव"|"मायावती"|"योगी आदित्यना�?|""बीजेपी""|""सप�?"|""बसपा""|""कांग्रेस""|""केशव प्रसाद मौर्�?"|""डॉ. दिने�?शर्म�?"|""लखनऊ""|""गोरखपु�?"|""वाराणसी""|""हिन्दी ख़बर""|""नरेन्द्र मोदी""|""SP""|""BJP""|""Congress""|""Dinesh Sharma""|""Keshaw Prasad Maurya""",85432,114,91,13
17.14.11,Punyalan Private Limited Official Teaser 2 | Jayasurya | Ranjith Sankar | Aju Varghese,DREAMS N BEYOND,1,dreams n beyond|"dreamsnbeyond"|"ranjith shankar"|"Punyalan Private Limited"|"Punyalan Private Limited Official Teaser 2"|"punyalan private limited trailer"|"jayasurya"|"aju varghese"|"punyalan 2 trailer"|"punyalan kalippu teaser"|"punyalan 2 teaser"|"punyalan 2 teaser trailer"|"punyalan private limited"|"punyalan 2 official trailer"|"punyalan private limited movie"|"punyalan private limited theatrical trailer"|"punyalan private limited official trailer"|"punyalan 2"|"punyalan agarbatis"|"dq"|"new",249423,7861,68,364
17.14.11,Nagarjuna Funny Comments on Samantha Dress || Naga Chaitany Samantha Akkineni Wedding Reception 2017,Top Telugu TV,24,Nagarjuna Funny Comments on Samantha Dress|"Naga Chaitany Samantha Akkineni Wedding Reception 2017"|"nagarjuna shocking comments on samantha dress"|"nagarjuna funny comments"|"samantha dress"|"samantha wedding reception"|"samantha"|"dress"|"nagarjuna"|"funny"|"naga chaitany"|"naga chaitany samantha"|"samantha wedding"|"#chaisam"|"akkineni reception live"|"grand reception for #chaysam"|"samantha akkineni"|"naga chaitanya"|"akkineni naga chaitanya"|"samantha marriage video",256199,318,123,35
17.14.11,SDI Annual Ijtema 2017 Final Day (For Brothers),SDI Channel,27,sdi|"islam"|"preacher"|"sunni"|"sunni ijtema"|"ijtema 2017"|"Final Day"|"27 Annaul Ijtema",137438,3926,249,131
17.14.11,Neeya Naana - 12th November 2017 - Promo 2,Vijay Television,24,Neeya Naana|"NN"|"Gopinath"|"Men Vs Women Series"|"Talk Show"|"Chat Show"|"Public Debate"|"Gopi"|"Gobi"|"Vijay"|"Star"|"Vijay TV"|"Star Vijay"|"Star Vijay TV"|"விஜய�?|""டிவி""|""தொலைக்காட்சி""|""நீயா நானா""|""கோபிநாத்""|""Tamil TV""|""Tamil Shows""|""gopi""",261202,1971,126,201
