RRinc	Quintile Index(i)	Running POP	pop
854	8	2586.378109	4.6489015
858	8	2587.247057	0.8689475
861	8	2591.218487	3.9714298
865	8	2594.462317	3.2438306
870	8	2602.974547	8.51223
878	8	2604.356812	1.3822644
879	8	2623.511135	19.1543237
882	8	2625.773795	2.2626595
890	8	2626.197591	0.4237961
892	8	2640.745421	14.54783
894	8	2657.489647	16.7442258
899	8	2660.507476	3.0178292
906	8	2662.187035	1.6795593
907	8	2677.033412	14.8463767
910	9	2760.941668	83.908256
912	9	2762.387667	1.445999
914	9	2762.562405	0.1747383
915	9	2762.64677	0.0843651
917	9	2762.655466	0.0086956
921	9	2767.188123	4.5326566
922	9	2768.633123	1.4450007
925	9	2768.990134	0.3570107
935	9	2781.08072	12.0905864
937	9	2781.414126	0.3334052
938	9	2782.78321	1.3690846
941	9	2784.934572	2.1513622
942	9	2785.372942	0.43837
944	9	2802.222586	16.8496437
946	9	2806.120164	3.8975778
947	9	2806.227955	0.1077911
949	9	2806.897097	0.6691416
958	9	2882.269967	75.3728704
959	9	2893.402819	11.1328521
962	9	2900.547757	7.1449379
969	9	2903.438293	2.8905358
974	9	2904.232631	0.7943385
980	9	2904.598477	0.365846
982	9	2904.928003	0.3295254
992	9	2905.459873	0.53187
1003	9	2907.011399	1.5515258
1004	9	2942.189511	35.178112
1006	9	2943.151357	0.9618466
1014	9	2947.008151	3.8567934
1018	9	3012.613014	65.6048636
1025	9	3015.630843	3.0178292
1027	9	3017.529544	1.8987007
1035	9	3018.107228	0.5776837
1043	9	3018.415136	0.3079087
1044	9	3018.978694	0.5635577
1050	9	3019.245442	0.2667474
1054	9	3019.58609	0.3406487
1056	9	3028.800684	9.2145942
1058	9	3031.647018	2.8463338
1069	9	3036.52632	4.8793022
1075	9	3037.931994	1.405674
1077	9	3038.694334	0.7623395
1082	9	3039.650245	0.955911
1084	9	3040.319387	0.6691416
1089	9	3040.898087	0.5787
1090	9	3040.982452	0.0843651
1092	9	3043.879126	2.8966747
1095	9	3044.502151	0.6230242
1096	9	3045.104351	0.6022001
1099	10	3061.848576	16.7442258
1100	10	3065.857062	4.0084853
1104	10	3066.823557	0.9664948
1105	10	3067.558579	0.7350221
1111	10	3069.580279	2.0217
1113	10	3070.310553	0.7302742
1118	10	3081.715082	11.4045288
1119	10	3081.88982	0.1747383
1121	10	3084.152479	2.2626595
1123	10	3084.357732	0.2052524
1124	10	3086.23361	1.8758778
1125	10	3086.67198	0.43837
1126	10	3098.762566	12.0905864
1132	10	3103.263144	4.5005782
1136	10	3103.333281	0.0701363
1155	10	3112.350594	9.0173139
1157	10	3112.35929	0.0086956
1162	10	3188.0503	75.6910101
1164	10	3188.407311	0.3570107
1165	10	3191.42514	3.0178292
1166	10	3193.379768	1.9546282
1167	10	3200.206566	6.8267982
1173	10	3200.600298	0.3937315
1180	10	3201.132168	0.53187
1184	10	3208.964498	7.8323298
1189	10	3209.272406	0.3079087
1196	10	3209.601932	0.3295254
1199	10	3212.735871	3.1339392
1207	10	3214.104956	1.3690846
1211	10	3217.348786	3.2438306
1218	10	3225.861016	8.51223
1220	10	3228.751552	2.8905358
1244	10	3229.420694	0.6691416
1247	10	3229.687441	0.2667474
1259	10	3231.838803	2.1513622
1265	10	3233.737504	1.8987007
1276	10	3290.830138	57.0926336
1281	10	3291.28235	0.4522124
1285	10	3311.049636	19.7672865
1291	10	3311.697559	0.6479228
1294	10	3314.829705	3.1321453
1307	10	3319.056471	4.2267667
1312	10	3354.234583	35.178112
1314	10	3354.813283	0.5787
1315	10	3354.988022	0.1747383
1316	11	3362.080395	7.092373
1318	11	3364.102095	2.0217
1324	11	3366.852295	2.7502008
1330	11	3369.870125	3.0178292
1334	11	3380.93284	11.0627158
1335	11	3388.76517	7.8323298
1339	11	3389.64151	0.87634
1340	11	3393.454086	3.8125759
1345	11	3395.329964	1.8758778
1346	11	3395.768334	0.43837
1348	11	3396.73018	0.9618466
1350	11	3397.038089	0.3079087
1352	11	3397.426365	0.388276
1364	11	3397.652975	0.2266094
1365	11	3399.035239	1.3822644
1388	11	3399.567109	0.53187
1389	11	3406.393907	6.8267982
1391	11	3407.360402	0.9664948
1392	11	3410.206736	2.8463338
1396	11	3410.563746	0.3570107
1401	11	3411.186771	0.6230242
1412	11	3414.320919	3.1341487
1425	11	3414.329615	0.0086956
1441	11	3415.060495	0.73088
1445	11	3419.939797	4.8793022
1448	11	3435.540471	15.600674
1452	11	3447.631058	12.0905864
1454	11	3448.300199	0.6691416
1461	11	3457.317513	9.0173139
1466	11	3457.522765	0.2052524
1469	11	3457.789513	0.2667474
1470	11	3462.290091	4.5005782
1479	11	3463.025113	0.7350221
1480	11	3463.360925	0.3358115
1486	11	3464.091199	0.7302742
1507	11	3464.424604	0.3334052
1514	11	3464.599342	0.1747383
1516	11	3541.341297	76.741955
1518	11	3544.473443	3.1321453
1525	11	3601.566076	57.0926336
1536	11	3604.809907	3.2438306
1538	11	3604.872825	0.0629185
1540	11	3604.95719	0.0843651
1542	11	3613.676129	8.7189385
1543	11	3614.053545	0.3774164
1548	11	3614.371685	0.3181397
1553	11	3617.389514	3.0178292
1555	11	3617.71904	0.3295254
1556	11	3626.23127	8.51223
1560	11	3626.844232	0.6129628
1562	11	3627.237964	0.3937315
1578	11	3628.114304	0.87634
1580	11	3628.217479	0.1031747
1582	11	3632.843299	4.62582
1598	11	3633.406856	0.5635577
1613	11	3635.428556	2.0217
1617	11	3639.259478	3.8309215
1633	11	3639.616489	0.3570107
1637	11	3640.148359	0.53187
1646	11	3640.586729	0.43837
1649	11	3640.656865	0.0701363
1652	11	3647.483663	6.8267982
1657	11	3649.359541	1.8758778
1670	11	3651.258242	1.8987007
1676	12	3665.806072	14.54783
1677	12	3667.211746	1.405674
1683	12	3671.183175	3.9714298
1706	12	3755.091431	83.908256
1708	12	3785.308471	30.2170395
1714	12	3786.07081	0.7623395
1715	12	3787.032657	0.9618466
1716	12	3787.207395	0.1747383
1719	12	3788.17389	0.9664948
1720	12	3788.440637	0.2667474
1724	12	3788.89285	0.4522124
1725	12	3789.233499	0.3406487
1729	12	3789.774161	0.5406626
1733	12	3792.567661	2.7935
1738	12	3792.576357	0.0086956
1751	12	3793.199381	0.6230242
1759	12	3793.517521	0.3181397
1761	12	3794.521339	1.0038188
1764	12	3797.367673	2.8463338
1779	12	3855.039007	57.6713336
1782	12	3862.13138	7.092373
1787	12	3862.866402	0.7350221
1796	12	3863.174311	0.3079087
1797	12	3863.282102	0.1077911
1799	12	3863.951243	0.6691416
1801	12	3868.529388	4.5781443
1806	12	3869.974388	1.4450007
1809	12	3872.724589	2.7502008
1817	12	3873.600929	0.87634
1825	12	3874.178613	0.5776837
1830	12	3889.450438	15.2718254
1883	12	3897.282768	7.8323298
1884	12	3901.783346	4.5005782
1890	12	3901.867711	0.0843651
1896	12	3902.224722	0.3570107
1908	12	3902.837685	0.6129628
1921	12	3917.260043	14.422358
1932	12	3918.629127	1.3690846
1937	12	3919.022859	0.3937315
1939	12	3919.156926	0.1340675
1946	12	3919.331665	0.1747383
